	minimum	maximum
RCR10001	-4.682729438858473	-1.4800000000005866
RCR10009	0.9999999999999999	4.124487533066833
RCR10019	-4.840851549133694	-1.0
RCR10084	1.0199999990555986	2.4307884761159673
RCR10101	-17.659710525079163	-13.966666666664878
RCR10103	12.379323843226706	20.999999999999524
RCR10105	-220.18536424538763	-164.033600758008
RCR10106	-8.794004201599591	-5.687130038790997
RCR10118	-5.871433020346899	10.456893374747551
RCR10129	1.0000000000056843	2.761066305613781
RCR10131	-0.6156268695750668	-0.17999999999949523
RCR10146	-2.5995657072657012	-0.9999999999999748
RCR10164	-5.871433020348604	10.456893374747324
RCR10230	-17.318488219875803	-13.666666666677202
RCR10246	3.6054625713547864e-13	4.659417041517667
RCR10269	-10.73333333333327	-3.9999999999971294
RCR10272	-10.73333333333327	-3.9999999999971294
RCR10275	5.687130038818844	8.794004201597467
RCR10294	-17.318488219876144	-13.666666666660035
RCR10295	0.9999999999999999	3.8215769522384937
RCR10306	-3.110774936961881	-1.0
RCR10337	0.9267368111308784	1.2617136684329402
RCR10350	0.0	4.659417041517958
RCR10352	5.687130038791679	8.79400420159834
RCR10441	6.687130038791793	11.333333333330643
RCR10443	-17.318488219895016	-13.666666666664469
RCR10444	13.66666666665867	17.31848821989513
RCR10468	1.0766127689601035	3.003776947952929
RCR10471	-4.544829592194065	-1.2999999999999374
RCR10475	-1.3628507536445795	-0.5399999999998499
RCR10480	0.3	1.1464730856713208
RCR10483	0.20000000000000007	0.7643153904475475
RCR10484	1.1999999999998594	2.916176457667259
RCR10492	4.680000000003751	8.699999999999976
RCR10503	-1.362850753644859	-0.5400000000000086
RCR10506	7.499999999999329	16.82971427340675
RCR10606	3.0000000000002593	6.436369674842295
RCR10608	0.9267368111306618	1.2617136684327612
RCR11017	89.99999999999999	100.0
RCR11027	13.666666666662346	17.318488219895304
RCR11070	12.047971836482606	16.00000000000026
RCR11087	-8.794004201597772	-5.687130038791906
RCR11103	-5.607395287957714	-4.146666666629672
RCR11104	-8.411092931936196	-6.219999999914762
RCR11105	-4.544829592193196	-1.2999999999999545
RCR11109	3.5000000000001137	5.331559526219394
RCR11122	-2.969715071604355	-1.0
RCR11127	-2.976130461490243	-1.0000000000022737
RCR11129	2.000000000000089	5.366666666666633
RCR11130	2.0000000000000884	5.366666666666633
RCR11131	-5.366666666666546	-1.999999999996021
RCR11132	1.9999999999997726	5.366666666666788
RCR11133	0.3843731304244395	2.5810663056214667
RCR11151	1.7000000000000004	3.6751038665599007
RCR11156	0.9999999999993645	2.7610663056206617
