	minimum	maximum
RCR10001	-0.6587299121183605	3.3623676315888815
RCR10084	1.0200000000010827	6.566496690445958
RCR10099	-1.0121050375971663	-0.1999999999999318
RCR10101	-5.5687604441933445	-1.099999999999909
RCR10103	3.0819083106193483	6.28805866823514
RCR10105	-170.93208615792798	-111.57017765664898
RCR10106	-7.332201251521383	-5.223816621238598
RCR10109	-1.6706281332580657	-0.18000000000000477
RCR10118	-0.6721050375970976	2.4595358628521495
RCR10127	-1.0121050375971663	-0.1999999999999318
RCR10145	1.166666666666199	8.024429112292356
RCR10164	-0.6721050375967934	2.4595358628524764
RCR10294	-4.524617860907142	-0.8000000000000682
RCR10295	0.9999999999993842	5.060525187985465
RCR10345	3.38190831061939	7.332201251521437
RCR10352	5.223816621238711	7.3322012515214965
RCR10443	-1.5181575563957495	-0.3000000000001819
RCR10444	0.2999999999999564	1.5181575563956358
RCR10460	1.540000000000141	7.332201251521631
RCR10462	0.0	2.1154975932266873
RCR10463	0.0	2.1154975932266873
RCR10464	0.0	2.1154975932266873
RCR10471	-1.5181575563956398	-0.29999999999995647
RCR10475	-3.8517259739006704	-0.5400000000000773
RCR10479	0.5399999999999749	3.8517259739005287
RCR10480	0.2999999999999564	1.518157556395639
RCR10483	0.1999999999998689	1.0121050375970686
RCR10484	0.1999999999999047	1.0121050375971308
RCR10503	-3.851725973900528	-0.5399999999999741
RCR10506	0.49999999999997435	3.4804752776209584
RCR10555	6.576278031560736e-15	2.1154975932266873
RCR10608	0.5753135571923971	0.8903647213469558
RCR11017	89.9999999999998	99.99999999999977
RCR11103	-6.001886256224491	-0.8133333333467421
RCR11104	-9.002829384779943	-1.2200000000000273
RCR11105	-1.5181575563956398	-0.2999999999999564
RCR11151	0.6999999999997842	3.5423676315897112
RCR11158	0.4999999999999765	3.4804752776209638
RCR11159	0.49999999999997646	3.4804752776209633
RCR11165	0.2999999999999564	1.5181575563956395
RCR11167	-5.151103410879031	-0.6799999999999764
RCR11170	-1.5181575563956395	-0.2999999999999564
RCR11176	0.6799999999998612	5.151103410879023
RCR11187	0.29999999999981525	1.5181575563956395
RCR11204	-3.4804752776209633	-0.4999999999999742
RCR11244	-8.74759453108743	-3.2219083106193693
RCR11299	0.29999999999981525	1.5181575563956395
RCR11300	0.2999999999998153	1.5181575563956395
RCR11301	0.3000000000000975	1.5181575563956393
RCR11372	3.381908310619474	7.332201251521544
RCR11379	3.381908310619239	7.332201251521365
RCR11504	0.5753135571923972	0.890364721346956
RCR11505	0.5753135571923971	0.8903647213469559
RCR11522	3.38190831061942	7.332201251521466
RCR11524	3.381908310619451	7.3322012515214965
RCR11659	5.223816621238765	7.332201251521594
RCR11660	-16.079795782608585	-8.44572493185774
RCR11661	-7.33220125152161	-5.223816621238711
RCR11663	5.223816621238159	7.332201251521076
RCR11665	119.87590258850628	184.5523460776842
RCR11669	-7.3322012515214965	-5.223816621238711
RCR11671	5.2238166212383845	7.33220125152125
RCR12361	1.5400000000003047	7.332201251521724
RCR12402	-7.332201251521763	-1.540000000000325
RCR13179	0.3000000000000975	1.5181575563956395
RCR13802	0.7000000000001135	3.5423676315897112
RCR13852	-3.5423676315897112	-0.6999999999997842
RCR14180	0.3533333333331514	2.0225428557729104
RCR14183	-2.0225428557728264	-0.35333333333312567
RCR14185	-8.024429112292296	-1.166666666666174
RCR14186	0.35333333333312567	2.0225428557728264
RCR14216	-3.0009431282597916	-0.4066666666665242
RCR14217	0.8133333333420378	6.00188625648322
RCR14218	-3.000943128199424	-0.40666666667539175
RCR14219	-3.000943128199424	-0.40666666667539175
RCR14224	0.5399999999999749	3.8517259739005283
RCR14227	0.5400000000000773	3.8517259739005567
RCR14230	-3.851725973900583	-0.5400000000000276
RCR14266	1.0000000000000513	9.281267406989253
RCR14348	0.0	2.115497593226687
RCR14424	3.381908310619246	7.332201251521326
RCR14481	-7.332201251521042	-5.223816621238143
RCR14581	0.2999999999999564	1.5181575563956393
RCR14582	0.2999999999999564	1.5181575563956393
RCR20005	97.02532254636026	145.5855818191642
RCR20011	-21.99660375456359	-15.671449863715788
RCR20025	20.181969108240573	30.481684006541958
RCR20085	91.80150592512192	138.25338056764298
RCR20169	-8.74759453108743	-3.2219083106195967
RCR20270	97.02532254636009	145.58558181916396
RCR20385	1.5400000000004184	7.3322012515218375
RCR20558	3.2219083106193667	8.747594531087376
RCR20575	114.65208596726802	177.22014482616282
RCR20651	3.3819083106192394	7.332201251521365
RCR21046	19.606655551048178	29.591319285195002
RCR21047	39.213311102096355	59.182638570390004
RCR21048	28.765677859619853	44.518236067349264
RCR30008	17.79422799592655	53.96192565398182
RCR30011	-30.481684006541958	-20.181969108240573
RCR30070	-3.851725973902393	-0.5400000000000369
RCR30072	-1.5181575563956677	-0.30000000000003657
RCR30096	1.0781737663504015e-15	3.7484201503884242
RCR30115	14.820822749353795	21.260016895179998
RCR30237	-5.151103410879032	-0.6799999999999774
RCR30268	1.1506271143621234	1.7807294426706903
RCR30285	1.1506271143618774	1.780729442670577
RCR30309	1.5400000000001408	7.332201251521631
RCR30315	-8.024429112292369	-1.1666666666662102
RCR30325	1.1506271143605546	1.780729442669693
RCR30500	0.48000000000110915	2.7147707165454293
RCR30528	-7.3322012515213535	-3.381908310619189
RCR30533	-10.04697196806515	-1.519999999999955
RCR30536	-1.5181575563956695	-0.2999999999998833
RCR40013	19.424855110289286	58.457425813197915
RCR40014	-30.481684006541958	-20.181969108240576
RCR40028	-6.288058668235578	-1.2400000000001228
RCR40054	-2.714770716545432	-0.48000000000111065
RCR40107	15.971449863715744	23.040746337850557
RCR40438	-3.8517259738965284	-0.5400000000000369
RCR40442	-5.151103410879024	-0.679999999999975
RCR40448	-1.518157556395667	-0.30000000000004223
RCR40464	-8.024429112292356	-1.1666666666661956
RCR40533	-6.288058668235589	-1.24000000000012
RCR40976	0.36567698970824614	5.490506620969982
RCR40999	-7.332201251521383	-3.381908310619224
RCR41023	1.150627114361866	1.7807294426707543
RCR41024	1.2053225463593114	5.490506620969921
RCR41027	2.4106450927186227	10.981013241939841
RCR41463	0.3000000000000159	1.5181575563956704
RCR41592	0.0	3.748420150388427
RCR30125	-2.7147707165454293	-0.48000000000110965
RCR90192	1.0	5.060525187985431
