	minimum	maximum
RCR10001	-12.499999999998181	-9.178606593506856
RCR10002	6.678606593523617	10.0
RCR10009	0.9999999999974208	2.0199999999985434
RCR10019	-4.473333333336423	-0.9999999999997399
RCR10084	6.000000000002271	7.483589939871723
RCR10088	1.0	2.019999999999558
RCR10100	-2.319999999999368	-1.2222222222201253
RCR10101	-12.445828174682674	-10.666666666661627
RCR10103	5.5133333333338035	7.619999999999149
RCR10105	-216.38546064382513	-192.4846684025066
RCR10106	-12.285428329053957	-9.7688644156907
RCR10109	-0.4143285888604174	-0.17999999999983082
RCR10110	4.979999999999929	6.000000000000955
RCR10118	-16.65333333333274	-12.439609825993784
RCR10164	-16.65333333333274	-12.439609825993784
RCR10221	3.5586685053235523	10.000000000001483
RCR10229	4.97999999999993	6.000000000000955
RCR10230	-14.099974567300933	-11.666666666668334
RCR10246	6.600000000000332	6.6666666666656145
RCR10269	-4.066666666666761	-4.000000000001217
RCR10272	-3.3866666666687513	-1.4348665680044261
RCR10275	0.9120018386574217	3.090257822182227
RCR10294	-14.09997456730514	-11.666666666663218
RCR10295	1.0	1.1111111111135057
RCR10336	0.9317548128228255	1.053854279133966
RCR10337	0.9317548128225509	1.053854279134094
RCR10350	0.9999999999998197	2.019999999998203
RCR10352	9.768864415690132	12.28542832905407
RCR10441	1.9120018386527136	4.090257822178273
RCR10443	-14.09997456730241	-11.666666666661513
RCR10444	11.666666666667311	14.099974567300691
RCR10468	1.3066666666637332	2.3039105630101715
RCR10471	-1.3333333333341384	-1.29999999999993
RCR10475	-0.9826206678492326	-0.5400000000006457
RCR10481	0.2999999999999457	0.33333333333415294
RCR10483	0.20000000000000004	0.22222222222280485
RCR10484	1.2000000000000002	2.1150831561125845
RCR10490	4.979999999998914	6.000000000001382
RCR10499	1.29999999999993	1.3333333333341368
RCR10503	-6.843116499146906	-5.520000000000208
RCR10506	12.4800000000007	14.58666666666513
RCR10606	9.69860659350759	13.075555555554041
RCR10608	0.9317548128225509	1.0538542791340402
RCR11017	90.0	100.0
RCR11027	11.666666666660017	14.09997456730125
RCR11070	0.0	1.0200000000004052
RCR11087	-3.090257822182366	-0.9120018386578295
RCR11103	-5.119989826922229	-4.146666666666717
RCR11104	-7.6799847403842705	-6.220000000000937
RCR11105	-1.3333333333341353	-1.2999999999999696
RCR11109	2.5000000000012506	3.5200000000001532
RCR11122	-1.0333333333344399	-0.9999999999998863
RCR11127	-1.9627205427485706	-0.9999999999972715
RCR11129	2.0000000000011915	2.0333333333332235
RCR11130	2.0000000000010707	2.033333333333264
RCR11131	-2.033333333333203	-2.0000000000006435
RCR11132	2.000000000001023	2.0333333333331893
RCR11151	1.6999999999999462	2.6150831561141787
RCR11152	2.2999999999989313	3.2858658445210516
RCR11154	-6.0000000000001545	-4.9799999999993405
RCR11155	0.9999999999999999	1.033333333334203
RCR11156	1.0	2.0199999999995564
RCR11158	2.5000000000011116	3.5200000000003144
RCR11167	1.29999999999993	1.3333333333341342
RCR11169	-6.0000000000001545	-4.979999999999288
RCR11170	-0.33333333333413545	-0.29999999999993
RCR11172	1.29999999999993	1.333333333334133
RCR11194	1.29999999999993	1.333333333334133
RCR11204	-3.519999999998534	-2.4999999999995457
RCR11220	0.2	0.222222222222802
RCR11221	0.2	0.222222222222802
RCR11222	0.5555555555543925	1.515083156114232
RCR11240	0.9999999999992373	2.0199999999993032
RCR11244	-2.1039188647245055	0.0
RCR11302	-1.3333333333341346	-1.2999999999999299
RCR11319	6.600000000000975	6.6666666666684415
RCR11320	-6.6666666666685614	-6.600000000001387
RCR11503	0.0	3.1548651732035697
RCR11645	3.5586685053260307	10.000000000001894
RCR11646	3.5586685053260303	10.000000000001894
RCR11659	8.768864415697745	11.205209458006875
RCR11660	-13.062103190165317	-9.768864415693315
RCR11661	-12.285428329053957	-9.768864415693315
RCR11663	16.76886441569735	19.205209458007005
RCR11665	217.35781761783394	245.22127772895112
RCR11669	-11.205209458008085	-8.768864415694338
RCR11671	16.768864415693912	19.205209458007474
RCR12360	-10.000000000331056	-6.6786065935340275
RCR12401	6.678606593513565	10.000000000000087
RCR13179	1.2999999999999299	1.3333333333330326
RCR13805	1.299999999999992	1.3333333333333046
RCR13810	-2.6150831561125387	-0.6799999999993616
RCR14182	4.146666666666153	5.119989826920351
RCR14186	-5.1199898269201185	-4.1466666666657375
RCR14216	-2.559994913460173	-2.073333333332812
RCR14217	4.146666666667453	5.119989826922044
RCR14218	-2.5599949134618782	-2.0733333333347446
RCR14219	2.0733333333329256	2.559994913460173
RCR14223	2.0000000000002274	2.0333333333334167
RCR14227	5.520000000000209	6.843116499144003
RCR14228	2.0000000000005542	2.0333333333342907
RCR14230	2.0000000000005684	2.0333333333342125
RCR14232	-0.9826206678492326	-0.5400000000000773
RCR14247	2.0000000000006435	2.033333333333036
RCR14248	2.0000000000006013	2.033333333333128
RCR14249	-2.0333333333330907	-2.0000000000004485
RCR14255	1.0	1.9150831561142494
RCR14258	-6.000000000000795	-4.979999999999822
RCR14263	2.000000000000997	2.033333333333029
RCR14266	1.0000000000006113	2.3018254936744342
RCR14283	0.9999999999997647	2.0199999999994125
RCR14284	-2.0199999999980847	-0.9999999999995502
RCR14395	0.0	3.1548651732063036
RCR14406	-3.154865173202893	0.0
RCR14481	-19.205209458006948	-16.768864415690928
