	minimum	maximum
RCR10001	-4.420000000017126	-3.0199999999987313
RCR10009	0.9999999999999998	2.400000000018715
RCR10084	1.0199999999976208	2.0300000000020892
RCR10099	-0.6000000000003638	-0.19999999999959073
RCR10101	-3.310000000001537	-1.2599999999846432
RCR10103	7.759999999991636	10.000000000023178
RCR10105	-182.85632745189037	-156.9278504543738
RCR10106	-4.393337549282933	-2.1310371813245865
RCR10109	-3.480000000005367	-1.4799999999985929
RCR10118	3.2659691481734767	8.834996354777775
RCR10127	-0.6000000000003638	-0.19999999999879492
RCR10155	1.2999999999992322	3.300000000006392
RCR10164	3.265969148173781	8.834996354777786
RCR10246	6.359999999984126	7.470000000000341
RCR10269	-8.480000000000619	-7.079999999976572
RCR10272	-8.480000000000619	-7.079999999976573
RCR10275	2.1310371813248383	4.393337549282646
RCR10294	-2.4100000000006503	-0.9599999999851434
RCR10295	0.9999999999964574	3.000000000003244
RCR10337	0.8688059599472389	1.012895836557853
RCR10350	2.0000000000000395	4.360000000009538
RCR10352	2.131037181324359	4.393337549282819
RCR10441	3.709368260846304	6.240000000003079
RCR10443	-1.5100000000001046	-0.4599999999862803
RCR10444	0.45999999998516633	1.510000000000312
RCR10475	-1.0160000000057607	-0.5399999999993952
RCR10479	1.5399999999991192	2.1000000000068684
RCR10480	0.2999999999986039	0.9000000000009434
RCR10483	0.1999999999990693	0.6000000000006289
RCR10484	1.1999999999990691	3.200000000005248
RCR10485	1.299999999998589	3.300000000005011
RCR10492	1.0000000000000029	3.0000000000057563
RCR10503	6.979999999999982	8.980000000004237
RCR10506	10.579999999975145	12.98000000000301
RCR10606	3.53999999999274	6.140000000018752
RCR10608	0.8688059599472027	1.012895836557853
RCR11017	89.99999999998965	99.99999999998961
RCR11070	4.366199246750362	7.000000000000693
RCR11087	-4.393337549282592	-2.1310371813245865
RCR11122	-1.7000000000104243	-1.0000000000023992
RCR11127	-1.5600000000072143	-0.9999999999998211
RCR11129	3.539999999988468	4.240000000000302
RCR11130	3.539999999988468	4.240000000000302
RCR11131	-4.240000000000309	-3.5399999999883693
RCR11132	3.5399999999884675	4.240000000000318
RCR11151	2.999999999997781	5.000000000003775
RCR11156	0.9999999999999993	3.0000000000058975
RCR11158	2.4999999999995586	4.500000000005435
RCR11159	0.49999999999955946	0.9500000000044714
RCR11167	-6.980000000005067	-4.979999999998924
RCR11170	-0.9000000000009217	-0.299999999999256
RCR11172	0.2999999999992813	0.9000000000009203
RCR11176	3.9799999999988818	5.980000000004836
RCR11204	-4.500000000005174	-2.4999999999995772
RCR11223	0.9999999999999998	3.0000000000059206
RCR11231	0.9999999999999972	3.0000000000058966
RCR11240	2.000000000000039	4.360000000009599
RCR11244	-22.394434192246536	-16.73450980386474
RCR11251	0.8688059599472558	1.012895836557779
RCR11299	0.4599999999854822	1.5099999999999605
RCR11300	0.45999999998615565	1.510000000000151
RCR11301	0.45999999998615565	1.5100000000001512
RCR11302	0.4599999999861557	1.5100000000001512
RCR11319	6.359999999984126	7.470000000000413
RCR11320	-7.4700000000003275	-6.359999999984123
RCR11503	4.439999999990522	5.000000000000409
RCR11659	0.0	2.0808151473006222
RCR11660	-25.56544394572927	-20.109485339298885
RCR11661	-4.3933375492837285	-2.1310371812882067
RCR11663	8.830361657118415	11.676859408111527
RCR11665	177.98967124581858	206.5279969560993
RCR11669	-2.0808151473002	1.1368683772161603e-13
RCR11671	8.83036165711863	11.67685940811161
RCR13802	-2.7949963547781103	1.5031470876669188
RCR13806	0.2999999999989219	0.9000000000011096
RCR13852	-1.5031470876669195	2.7949963547781245
RCR14223	3.5399999999910063	4.240000000000389
RCR14224	1.5399999999993033	2.1000000000069305
RCR14227	0.5399999999992815	1.0160000000059881
RCR14228	3.5399999999910077	4.24000000000039
RCR14230	1.9999999999888587	2.7000000000008413
RCR14232	1.0000000000003144	1.5600000000072611
RCR14247	3.539999999988452	4.240000000000323
RCR14248	3.5399999999884515	4.240000000000322
RCR14249	-4.240000000000372	-3.539999999988234
RCR14255	0.9999999999999998	3.0000000000061746
RCR14263	3.5399999999884773	4.240000000000323
RCR14266	0.9999999999999999	2.4000000000183594
RCR14283	1.0000000000000195	2.1800000000048003
RCR14284	-2.1800000000047715	-1.0000000000000198
RCR14395	4.43999999999005	5.0
RCR14406	-5.000000000000455	-4.439999999990391
RCR14481	-11.676859408111511	-8.830361657117805
RCR20005	134.3310059998753	156.75908151641556
RCR20011	-26.97002040461628	-21.560723314236256
RCR20025	27.455457359517574	31.922231506163236
RCR20069	-7.470000000000341	-6.35999999998381
RCR20085	124.47340122856718	145.5694087602539
RCR20090	1.0000000000000484	2.1800000000001343
RCR20137	6.359999999999872	7.469999999999862
RCR20169	-15.305582211224873	-8.819680586846061
RCR20171	-5.470000000000303	-2.5599999999854197
RCR20257	-1.0128958365578542	-0.868805959947256
RCR20270	135.42216065612968	157.75908151641553
RCR20558	16.734509803864764	22.394434192246425
RCR20562	6.359999999984603	7.47000000000034
RCR20564	-2.180000000004709	-1.0000000000000524
RCR20575	167.22785045435626	194.34632745189015
RCR20598	2.1310371813248405	4.393337549282644
RCR21046	26.577618015763683	30.917979689244834
RCR21047	53.15523603152736	61.83595937848967
RCR21048	43.44029799736279	50.644791827892654
RCR30008	14.709608821407738	25.125249187436903
RCR30011	-31.92223150616324	-27.45545735951758
RCR30014	1.0	2.4000000000191872
RCR30024	1.0	3.692092816627099
RCR30033	1.0	3.0320904916715823
RCR30070	1.0	1.7000000000094877
RCR30115	20.667430222355712	27.523156539766884
RCR30188	1.0	2.179999999999964
RCR30211	7.520000000002255	9.520000000005094
RCR30237	-6.980000000004495	-4.979999999998681
RCR30263	8.879999999981036	10.0
RCR30264	8.879999999981036	10.0
RCR30268	1.7376119198913784	2.025791673112394
RCR30285	1.7376119198913502	2.02579167311236
RCR30325	1.7376119198914535	2.025791673112362
RCR30439	4.439999999991225	4.999999999999819
RCR30500	7.999999999992741	10.000000000004405
RCR30533	5.999999999996975	8.000000000006747
RCR40013	45.35426833427914	57.149759325187915
RCR40014	-31.922231506163623	-27.455457359516224
RCR40028	-4.69209281662711	-1.9999999999993179
RCR40034	0.9999999999993853	3.0320904916716307
RCR40054	-9.00000000000361	-6.999999999996771
RCR40066	7.599999999980873	8.999999999999998
RCR40070	0.9999999999999999	2.400000000019494
