"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_24","5FU","24h",24159,0.315161597624031,3.4995022597315e-08,1.23231928110651e-07
"5FU_24","5FU","24h",24161,0.689868710493122,2.51419939235747e-25,4.34064744440932e-24
"5FU_24","5FU","24h",24162,0.208440932675795,5.69407022236303e-05,0.000136301805947815
"5FU_24","5FU","24h",24170,0.182480868493483,6.87872011019204e-07,2.11297789117212e-06
"5FU_24","5FU","24h",24179,0.911526098344434,1.48746625012205e-09,6.00848842749829e-09
"5FU_24","5FU","24h",24190,3.57621559088637,4.09084393340406e-06,1.13752660693089e-05
"5FU_24","5FU","24h",24192,0.259451609085389,0.000129867924662925,0.000296718646082295
"5FU_24","5FU","24h",24205,0.240444106880889,0.00174229443651048,0.00339092715017031
"5FU_24","5FU","24h",24206,0.219528801774509,3.77333560007725e-06,1.05447631189563e-05
"5FU_24","5FU","24h",24223,0.39164054622342,5.85140355067482e-12,3.03389124604636e-11
"5FU_24","5FU","24h",24230,0.281224807703429,2.74478596631183e-06,7.79465657633217e-06
"5FU_24","5FU","24h",24236,1.60024851306034,0.00141330965700093,0.00279048286238093
"5FU_24","5FU","24h",24240,0.263848325718924,5.25414951044652e-05,0.000126269636682693
"5FU_24","5FU","24h",24242,0.433990398722536,2.43152874351121e-15,1.77652482289971e-14
"5FU_24","5FU","24h",24244,0.170548947426915,0.00215753135412052,0.00414476126291844
"5FU_24","5FU","24h",24248,0.581195005356467,5.44425435986856e-35,1.93257751106163e-33
"5FU_24","5FU","24h",24254,1.33429351418401,0.00222665172279458,0.00426740705472114
"5FU_24","5FU","24h",24264,0.601334192298369,3.75553288263961e-07,1.18795969515186e-06
"5FU_24","5FU","24h",24311,0.347276903313475,3.93895120049578e-08,1.37773361624647e-07
"5FU_24","5FU","24h",24312,0.687772198114301,7.10348328477707e-17,5.96561429467083e-16
"5FU_24","5FU","24h",24314,1.19533109426224,4.79777611312078e-29,1.0893421770727e-27
"5FU_24","5FU","24h",24330,0.927714423241656,2.57844851375023e-12,1.39194138238579e-11
"5FU_24","5FU","24h",24375,0.345112776575322,6.90654623296378e-12,3.55815482741787e-11
"5FU_24","5FU","24h",24390,0.579351472888304,1.96316724466942e-20,2.25330726174438e-19
"5FU_24","5FU","24h",24401,0.295280744128343,0.00102812036920878,0.00208170059174521
"5FU_24","5FU","24h",24404,0.246286683253147,0.000202989626036475,0.000453323771265131
"5FU_24","5FU","24h",24411,3.439450846049,7.62608935138661e-05,0.000179595638220195
"5FU_24","5FU","24h",24439,0.367467709206953,2.49568790279022e-08,8.92000042662299e-08
"5FU_24","5FU","24h",24440,1.04723515878545,0.00012802003135046,0.00029272640004314
"5FU_24","5FU","24h",24479,0.583367049056037,1.56496045496335e-25,2.74084650560008e-24
"5FU_24","5FU","24h",24499,1.00606501413507,7.13220366909466e-29,1.59941590446847e-27
"5FU_24","5FU","24h",24503,1.64591196862397,4.24567816790859e-09,1.63903448423718e-08
"5FU_24","5FU","24h",24508,0.666868838872557,9.30183262800181e-18,8.40340608739531e-17
"5FU_24","5FU","24h",24513,0.349252448614685,6.12867851891554e-09,2.33316210212652e-08
"5FU_24","5FU","24h",24518,0.58363847898758,1.39313580368058e-05,3.61163136565144e-05
"5FU_24","5FU","24h",24525,0.352851493493602,1.43158847505114e-05,3.70798394564372e-05
"5FU_24","5FU","24h",24530,0.864967676437681,1.28103812133799e-09,5.21371051956181e-09
"5FU_24","5FU","24h",24533,0.457474818835382,4.48887260456624e-05,0.000108939556256223
"5FU_24","5FU","24h",24567,1.44163571140981,4.24446636557581e-24,6.64236166500971e-23
"5FU_24","5FU","24h",24571,1.8778942279051,0.000380337478201745,0.000818850836944999
"5FU_24","5FU","24h",24575,0.655584677316945,0.0026328196566002,0.00498154670854906
"5FU_24","5FU","24h",24582,1.48493726471603,3.02356808962411e-33,9.48383835698047e-32
"5FU_24","5FU","24h",24587,0.888609540919933,1.09002191281801e-10,4.97934052704124e-10
"5FU_24","5FU","24h",24602,1.8751288261506,2.22340743239391e-25,3.84773742818798e-24
"5FU_24","5FU","24h",24605,0.79126444363301,7.01019222902149e-38,3.06385398502038e-36
"5FU_24","5FU","24h",24615,0.308604144647229,0.000120994251722886,0.000277402384936182
"5FU_24","5FU","24h",24642,1.17339953289376,8.80029598243309e-29,1.95243152024895e-27
"5FU_24","5FU","24h",24649,0.292481159985555,0.00105100563822208,0.00212390114672094
"5FU_24","5FU","24h",24655,0.546756024934911,1.15304993536043e-24,1.8834443051892e-23
"5FU_24","5FU","24h",24664,1.70421651771513,7.03749623163112e-39,3.3915139124225e-37
"5FU_24","5FU","24h",24666,0.411764456721955,7.08201314823404e-20,7.76726596528999e-19
"5FU_24","5FU","24h",24672,0.561521869901013,9.3982145173496e-16,7.15011051152671e-15
"5FU_24","5FU","24h",24673,0.324339769411669,1.54216447983291e-08,5.60976301911725e-08
"5FU_24","5FU","24h",24681,0.402398952973835,0.00146700526088031,0.00288992888019113
"5FU_24","5FU","24h",24686,0.795520594656577,8.51878454730614e-18,7.71994958290744e-17
"5FU_24","5FU","24h",24705,0.257198505287841,0.000381701781731065,0.000821545065263816
"5FU_24","5FU","24h",24747,0.580338203984576,3.24388871139391e-06,9.124769289839e-06
"5FU_24","5FU","24h",24770,0.790328699903749,4.54236970021185e-05,0.000110109341467161
"5FU_24","5FU","24h",24771,0.322092175625392,0.00012749575075386,0.000291665067034215
"5FU_24","5FU","24h",24777,1.78807778570746,8.76234407584491e-05,0.000204534331483315
"5FU_24","5FU","24h",24779,0.827035992600804,5.12497393502663e-07,1.59685015308023e-06
"5FU_24","5FU","24h",24787,0.254636063812103,1.37227385310643e-06,4.04307410734971e-06
"5FU_24","5FU","24h",24790,0.322401537723428,2.09197463705689e-07,6.78400153024196e-07
"5FU_24","5FU","24h",24803,0.26977126097567,0.000821069787654592,0.00168497598555061
"5FU_24","5FU","24h",24811,1.4618775371765,6.66635247690587e-32,1.88464277714478e-30
"5FU_24","5FU","24h",24812,0.916189257259941,2.40330421236443e-15,1.75679003047473e-14
"5FU_24","5FU","24h",24818,0.277534819482292,3.75420903463253e-07,1.18795969515186e-06
"5FU_24","5FU","24h",24822,0.597595156170143,4.83300801544062e-62,8.5779998361857e-60
"5FU_24","5FU","24h",24826,2.6169853309649,1.88689380343822e-15,1.39258886487017e-14
"5FU_24","5FU","24h",24827,0.523224140079492,0.00243197126327128,0.00462739047792524
