"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_6","5FU","6h",24159,-0.411446397575207,2.24408959932257e-13,1.98062340985692e-12
"5FU_6","5FU","6h",24167,-1.68998101498832,4.81275002392763e-32,1.84328325916428e-30
"5FU_6","5FU","6h",24173,-0.810340000694259,5.35647530254419e-16,6.18715409152604e-15
"5FU_6","5FU","6h",24180,-1.06242768246435,0.000231832068908653,0.000617398706476949
"5FU_6","5FU","6h",24185,-0.221090079990719,9.363090435126e-09,4.87725190382333e-08
"5FU_6","5FU","6h",24211,-0.501798941481182,1.65214364746495e-11,1.2052781275792e-10
"5FU_6","5FU","6h",24215,-0.738489526657066,7.78866247992732e-05,0.000225989221955467
"5FU_6","5FU","6h",24218,-0.955231241173885,4.03531040980689e-15,4.27126601486033e-14
"5FU_6","5FU","6h",24224,-1.07710764232365,3.06677299107817e-16,3.61115000907376e-15
"5FU_6","5FU","6h",24225,-0.722000607029545,0.000847242884183069,0.00203949271194184
"5FU_6","5FU","6h",24245,-0.861654506786062,1.35753278066908e-09,7.84029051184831e-09
"5FU_6","5FU","6h",24267,-0.174524250036553,0.00192234043589232,0.00433226118054766
"5FU_6","5FU","6h",24296,-2.63060934815072,5.03092118684083e-51,7.54845638693623e-49
"5FU_6","5FU","6h",24309,-0.522395278393913,1.25990610223815e-06,4.9159982337732e-06
"5FU_6","5FU","6h",24323,-0.776488856064062,0.00233463099556842,0.00516150987536121
"5FU_6","5FU","6h",24326,-1.35943929233815,5.28723544945095e-52,8.74436644673968e-50
"5FU_6","5FU","6h",24329,-0.940443056462932,1.67285703696202e-16,2.01046749099465e-15
"5FU_6","5FU","6h",24336,-1.04738524529998,9.91965096962866e-08,4.47938567210597e-07
"5FU_6","5FU","6h",24337,-0.711515347877409,1.08876347058272e-16,1.32935096903195e-15
"5FU_6","5FU","6h",24338,-0.530845301089585,0.00309738911863639,0.00666953709611393
"5FU_6","5FU","6h",24360,-0.983774801431342,3.51969945358938e-06,1.28288769966291e-05
"5FU_6","5FU","6h",24361,-0.551345913206492,3.1403950644719e-07,1.33485133669171e-06
