"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Ace_24","Ace","24h",24159,0.257170120909705,1.0484272714024e-06,5.63471584490051e-06
"Ace_24","Ace","24h",24176,0.529270273736782,0.000413524669970133,0.00136689485504095
"Ace_24","Ace","24h",24223,0.281741179810082,8.21381323268484e-08,5.32726549859604e-07
"Ace_24","Ace","24h",24242,0.384632100234702,2.80983963909334e-14,4.12657982919924e-13
"Ace_24","Ace","24h",24244,0.293716848042393,1.06747813146758e-08,7.96721883352781e-08
"Ace_24","Ace","24h",24248,0.229616109188251,1.42391521681829e-07,8.90957096542281e-07
"Ace_24","Ace","24h",24261,0.452691943950111,0.000195776031264827,0.000695635829840893
"Ace_24","Ace","24h",24296,1.17373745250546,5.06961746321792e-08,3.40642717265345e-07
"Ace_24","Ace","24h",24312,0.930564923649597,1.74516100079492e-36,1.57758218668132e-34
"Ace_24","Ace","24h",24314,1.25888118216991,1.27982481805855e-36,1.17148241522164e-34
"Ace_24","Ace","24h",24330,0.713098015848853,6.34712949870783e-09,4.88504086325721e-08
"Ace_24","Ace","24h",24361,0.36577722566001,0.000256318237968104,0.000887569744322574
"Ace_24","Ace","24h",24375,0.246182871611412,1.43393665734252e-07,8.96842033131201e-07
"Ace_24","Ace","24h",24398,0.420006012454023,2.83598750439973e-10,2.60245662919506e-09
"Ace_24","Ace","24h",24426,0.802001292251774,4.74226245160453e-41,5.75157397672102e-39
"Ace_24","Ace","24h",24439,0.445869367414197,2.50149835445764e-13,3.28285004966424e-12
"Ace_24","Ace","24h",24451,1.11697311467478,2.83519125170258e-18,6.31904647431538e-17
"Ace_24","Ace","24h",24479,0.182962595776744,0.000440656317144023,0.00144802710311901
"Ace_24","Ace","24h",24503,1.13094716248841,3.12920529082123e-05,0.000130869120122449
"Ace_24","Ace","24h",24508,0.415862969098189,8.87114947161566e-09,6.68274893425954e-08
"Ace_24","Ace","24h",24513,0.167393052938876,0.00263863014506193,0.0072787382735465
"Ace_24","Ace","24h",24530,0.491793555338841,0.000533991878934589,0.00172551461057149
"Ace_24","Ace","24h",24552,0.559228344797248,1.03303900578888e-23,3.48028928015078e-22
"Ace_24","Ace","24h",24567,0.601899619996077,6.82704443837013e-06,3.22077162904502e-05
"Ace_24","Ace","24h",24587,0.692534065897676,6.78592877489467e-08,4.46081334190682e-07
"Ace_24","Ace","24h",24591,0.336299202772237,1.0397424433132e-06,5.59216981521815e-06
"Ace_24","Ace","24h",24596,0.51340943493527,0.00114967409021167,0.00346282216658541
"Ace_24","Ace","24h",24602,0.737393908021885,9.81906201538448e-06,4.51236591638477e-05
"Ace_24","Ace","24h",24609,0.441169821677713,5.54914543589505e-10,4.93054106678978e-09
"Ace_24","Ace","24h",24664,0.734353370375804,4.80118694724028e-09,3.76084363994268e-08
"Ace_24","Ace","24h",24667,0.16264346875506,0.000305411026964944,0.00104464208847187
"Ace_24","Ace","24h",24674,0.292939754110712,1.10694394450115e-08,8.24486293156076e-08
"Ace_24","Ace","24h",24686,0.726434068412017,2.70681722954622e-17,5.42631101361098e-16
