"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Ace_6","Ace","6h",24162,-0.294222551326579,5.08296367670511e-09,5.66442981246295e-08
"Ace_6","Ace","6h",24167,-1.00801123867879,8.33848752698845e-16,2.8487874992439e-14
"Ace_6","Ace","6h",24170,-0.151387221991031,1.68759554393476e-05,9.35310949978163e-05
"Ace_6","Ace","6h",24173,-0.54162864433653,2.6710392512003e-09,3.10994442095754e-08
"Ace_6","Ace","6h",24185,-0.272156473779072,2.19069178767254e-13,5.15078001256642e-12
"Ace_6","Ace","6h",24218,-0.550176021811204,4.39231022693882e-07,3.36723180581967e-06
"Ace_6","Ace","6h",24267,-0.410365882339205,3.50061111125034e-14,9.38116359801755e-13
"Ace_6","Ace","6h",24268,-0.482881367974864,1.55727854727337e-05,8.70377572082054e-05
"Ace_6","Ace","6h",24296,-0.51450260702423,0.00010369277837407,0.000477728615529033
"Ace_6","Ace","6h",24309,-0.472569763565564,3.32975042999053e-06,2.13611200066005e-05
"Ace_6","Ace","6h",24310,-0.457483972637242,8.30009367104206e-05,0.000393740427928117
"Ace_6","Ace","6h",24323,-1.14453652380846,2.12808598795217e-05,0.000115009890340349
"Ace_6","Ace","6h",24324,-1.70814402689487,0.00258423682629088,0.00818341661658779
"Ace_6","Ace","6h",24326,-0.835004588544118,5.3875890389733e-23,4.5063776363918e-21
"Ace_6","Ace","6h",24329,-0.5595487948283,1.06901525019012e-07,9.19530020760463e-07
"Ace_6","Ace","6h",24337,-0.291739962844059,0.00037616857943317,0.0014946102934945
"Ace_6","Ace","6h",24338,-0.733310144976409,1.31757512405813e-06,9.14884940627006e-06
"Ace_6","Ace","6h",24356,-0.408941561471171,2.81419196167115e-05,0.000148397644239717
"Ace_6","Ace","6h",24387,-0.755750327320067,1.66861246502768e-05,9.26554208928379e-05
"Ace_6","Ace","6h",24390,-0.186320984039978,0.00268377587525117,0.00844649326871085
"Ace_6","Ace","6h",24392,-0.349522077727899,3.20507210287699e-06,2.06251487284822e-05
"Ace_6","Ace","6h",24400,-0.191961848722029,2.57880015755493e-08,2.50546445213981e-07
"Ace_6","Ace","6h",24407,-0.304041437485403,0.000641494151976033,0.00240316753870249
"Ace_6","Ace","6h",24443,-2.52774297418984,9.20760896683929e-05,0.000431232947475379
"Ace_6","Ace","6h",24446,-0.778658335204529,1.32846039207731e-06,9.198103019169e-06
"Ace_6","Ace","6h",24482,-0.587279319586837,6.24827375218385e-09,6.83739670596119e-08
"Ace_6","Ace","6h",24504,-0.341051035034088,6.29515416905341e-05,0.000307345433667908
"Ace_6","Ace","6h",24546,-0.727760769126707,1.04772383547243e-06,7.3986281909101e-06
"Ace_6","Ace","6h",24547,-0.732409810185276,0.000164190680799473,0.000719768424203471
"Ace_6","Ace","6h",24558,-0.723430246254767,4.02693199884503e-10,5.46716122305883e-09
"Ace_6","Ace","6h",24560,-0.96006310931897,5.92835253629024e-08,5.39595014466342e-07
"Ace_6","Ace","6h",24600,-0.534512380683297,1.29941461112726e-05,7.38351592182552e-05
"Ace_6","Ace","6h",24603,-0.611309184752366,4.618191985339e-12,8.96175548728318e-11
"Ace_6","Ace","6h",24626,-0.304709485553417,0.00114817569395534,0.00401880757071662
"Ace_6","Ace","6h",24627,-0.79017657994463,7.92644360641216e-26,9.08357954706477e-24
"Ace_6","Ace","6h",24660,-0.321171607134232,2.75000043079529e-06,1.79477606591008e-05
"Ace_6","Ace","6h",24693,-0.351361592730492,0.00323602465823177,0.00995499955102626
"Ace_6","Ace","6h",24703,-0.120122405163881,0.00225645286160058,0.00727362457314171
"Ace_6","Ace","6h",24705,-0.357622787927,4.24011311058302e-07,3.25821574505941e-06
"Ace_6","Ace","6h",24750,-0.353316277200392,0.00258420468453352,0.00818341661658779
"Ace_6","Ace","6h",24771,-0.286788113237346,0.000577877817901938,0.00218907698119334
"Ace_6","Ace","6h",24772,-0.516311790586027,5.08668202466845e-07,3.83384620336741e-06
"Ace_6","Ace","6h",24796,-0.77552688843562,0.000376051932869155,0.00149455484188358
"Ace_6","Ace","6h",24799,-0.220884571829771,0.00023604566156539,0.000988100223582151
"Ace_6","Ace","6h",24816,-1.73731975982536,4.83131093300897e-31,9.9035069463398e-29
"Ace_6","Ace","6h",24842,-0.507600275586617,4.02676173529746e-19,2.17864276191521e-17
"Ace_6","Ace","6h",24852,-0.368750047405094,2.1566971081719e-05,0.000116297034873412
"Ace_6","Ace","6h",24883,-0.749465153640662,4.18994167110502e-07,3.22306612480245e-06
"Ace_6","Ace","6h",24917,-0.133773335189503,0.000911197720328951,0.00327769936274532
"Ace_6","Ace","6h",24924,-0.371544933295565,0.00210902843586023,0.00687607523644932
"Ace_6","Ace","6h",24943,-0.442821603289952,0.00204222093866068,0.00668371566028053
"Ace_6","Ace","6h",24953,-0.570628034641465,0.000151466520705437,0.000669433265213158
"Ace_6","Ace","6h",24963,-1.21341202565551,1.34090351340269e-05,7.59653940601898e-05
"Ace_6","Ace","6h",25027,-0.194045909848961,9.93164309821231e-05,0.000460628214312881
"Ace_6","Ace","6h",25029,-0.528214329120216,6.29652133742986e-07,4.66359142722414e-06
"Ace_6","Ace","6h",25058,-0.371100652953245,2.13205784381852e-09,2.52071241746017e-08
"Ace_6","Ace","6h",25073,-0.33572351753564,2.43111608093178e-07,1.95483223435807e-06
"Ace_6","Ace","6h",25084,-0.313247500155054,5.39341511330491e-06,3.29537210575314e-05
"Ace_6","Ace","6h",25094,-0.221806008714287,0.000225639471990498,0.000949394875787715
