"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Dox_24","Dox","24h",24153,-0.894425427565659,0.00137193817983073,0.00176700781143862
"Dox_24","Dox","24h",24157,-0.894432954078783,2.61179615085018e-35,8.61170846839e-35
"Dox_24","Dox","24h",24162,-1.36060147293339,7.96935274098091e-138,1.24181969798968e-136
"Dox_24","Dox","24h",24167,-2.00897927624066,1.33128756331032e-58,6.68583823202841e-58
"Dox_24","Dox","24h",24173,-1.43618491572154,9.27370375400189e-64,5.08359640059298e-63
"Dox_24","Dox","24h",24180,-1.38213853875519,2.08625321855043e-10,3.60267315410334e-10
"Dox_24","Dox","24h",24185,-0.857817581981026,1.66503199605728e-125,2.22728636678471e-124
"Dox_24","Dox","24h",24189,-0.382304788543676,0.000136846254989316,0.000186206095279965
"Dox_24","Dox","24h",24191,-1.39486122052108,3.85634640524918e-67,2.22454481101849e-66
"Dox_24","Dox","24h",24212,-0.554664561344252,2.54969748689141e-06,3.75932501511676e-06
"Dox_24","Dox","24h",24213,-3.08154018705151,3.03620585645124e-97,2.7861878962668e-96
"Dox_24","Dox","24h",24215,-3.18313415883014,3.70706263792458e-44,1.44451377864403e-43
"Dox_24","Dox","24h",24216,-1.24928892466787,1.36399161474329e-12,2.54083373364571e-12
"Dox_24","Dox","24h",24218,-1.07861734860544,2.34988569371169e-23,5.94063512007643e-23
"Dox_24","Dox","24h",24224,-0.798673501095647,1.89218245811305e-11,3.38981086846101e-11
"Dox_24","Dox","24h",24237,-1.32281151126035,3.90389635865314e-05,5.45638217649455e-05
"Dox_24","Dox","24h",24239,-2.48286203572931,9.18134117788086e-133,1.35385247723281e-131
"Dox_24","Dox","24h",24242,-0.228971065068636,6.90143351969994e-06,1.0016300702604e-05
"Dox_24","Dox","24h",24246,-1.57742869269343,1.31892495738972e-129,1.86184615226478e-128
"Dox_24","Dox","24h",24248,-0.437144107885928,4.46141253948816e-23,1.12027947031937e-22
"Dox_24","Dox","24h",24250,-1.13860549216428,7.65729849690973e-05,0.000105444528644171
"Dox_24","Dox","24h",24251,-0.569465056924491,4.62194419527271e-06,6.75650620912003e-06
"Dox_24","Dox","24h",24265,-2.27496641516691,1.314193019504e-234,5.74377333509345e-233
"Dox_24","Dox","24h",24267,-1.17827725977922,3.73427787217018e-100,3.54293873217502e-99
"Dox_24","Dox","24h",24268,-0.838851736311548,1.37407591347775e-18,3.06393455565424e-18
"Dox_24","Dox","24h",24269,-4.57704830431274,8.05877937434453e-08,1.26852125258718e-07
"Dox_24","Dox","24h",24279,-2.20701581091129,4.50685474409055e-14,8.79731276092997e-14
"Dox_24","Dox","24h",24307,-2.47981843395867,2.3298753180291e-27,6.4711842325564e-27
"Dox_24","Dox","24h",24311,-0.916543811062246,2.72916724706012e-53,1.24945895293215e-52
"Dox_24","Dox","24h",24316,-1.66886537461148,3.13079391144322e-05,4.39822148524561e-05
"Dox_24","Dox","24h",24326,-3.40657276024379,0,0
"Dox_24","Dox","24h",24329,-1.20999261683362,3.07925243570378e-32,9.50688161842019e-32
"Dox_24","Dox","24h",24336,-2.29291156707471,1.47102455363955e-24,3.82377055789785e-24
"Dox_24","Dox","24h",24337,-0.581775341848897,2.33731985298701e-13,4.45544900332324e-13
"Dox_24","Dox","24h",24356,-1.43878258397631,3.13041130783016e-52,1.40530555750031e-51
"Dox_24","Dox","24h",24360,-4.77156809151065,6.98469927394392e-26,1.87486745173331e-25
"Dox_24","Dox","24h",24361,-0.767332892436807,4.02773769998531e-11,7.12355018660666e-11
