ID,reactions
C1,RCR10109
C1,RCR10230
C1,RCR10289
C1,RCR10441
C1,RCR10443
C1,RCR10444
C1,RCR10503
C1,RCR10520
C1,RCR10545
C1,RCR10606
C1,RCR11027
C1,RCR11103
C1,RCR11104
C1,RCR11133
C1,RCR11159
C1,RCR11176
C1,RCR11486
C1,RCR14180
C1,RCR14183
C1,RCR14186
C1,RCR14216
C1,RCR14217
C1,RCR14218
C1,RCR14219
C1,RCR14393
C1,RCR14394
C1,RCR30500
C1,RCR30505
C1,RCR30509
C1,RCR30510
C1,RCR30514
C1,RCR40013
C1,RCR40028
C1,RCR40054
C1,RCR40061
C1,RCR40112
C1,RCR40122
C1,RCR40215
C1,RCR40270
C1,RCR40466
C7,RCR10001
C7,RCR10004
C7,RCR10019
C7,RCR10164
C7,RCR10229
C7,RCR10230
C7,RCR10247
C7,RCR10253
C7,RCR10268
C7,RCR10275
C7,RCR10289
C7,RCR10296
C7,RCR10306
C7,RCR10307
C7,RCR10418
C7,RCR10441
C7,RCR10443
C7,RCR10444
C7,RCR10460
C7,RCR10465
C7,RCR10466
C7,RCR10473
C7,RCR10503
C7,RCR10555
C7,RCR10617
C7,RCR11027
C7,RCR11088
C7,RCR11102
C7,RCR11103
C7,RCR11104
C7,RCR11110
C7,RCR11248
C7,RCR11294
C7,RCR11658
C7,RCR11660
C7,RCR11663
C7,RCR12360
C7,RCR12362
C7,RCR12401
C7,RCR12403
C7,RCR14180
C7,RCR14183
C7,RCR14186
C7,RCR14216
C7,RCR14217
C7,RCR14218
C7,RCR14219
C7,RCR14285
C7,RCR20001
C7,RCR20005
C7,RCR20015
C7,RCR20085
C7,RCR20086
C7,RCR20168
C7,RCR20274
C7,RCR20384
C7,RCR20386
C7,RCR40028
C7,RCR40063
C7,RCR40215
C7,RCR40264
C7,RCR40270
C7,RCR40278
C7,RCR40533
C66,RCR10028
C66,RCR10103
C66,RCR10221
C66,RCR10229
C66,RCR10275
C66,RCR10337
C66,RCR10349
C66,RCR10608
C66,RCR11239
C66,RCR11244
C66,RCR11245
C66,RCR11251
C66,RCR11646
C66,RCR11657
C66,RCR11660
C66,RCR11661
C66,RCR11663
C66,RCR11665
C66,RCR11671
C66,RCR14481
C66,RCR20005
C66,RCR20015
C66,RCR20085
C66,RCR20136
C66,RCR20166
C66,RCR20173
C66,RCR20270
C66,RCR20594
C66,RCR20667
C66,RCR21046
C66,RCR21047
C66,RCR21048
C66,RCR40013
C66,RCR40061
C66,RCR40066
C66,RCR40536
C66,RCR40558
C74,RCR10001
C74,RCR10019
C74,RCR10028
C74,RCR10084
C74,RCR10097
C74,RCR10101
C74,RCR10118
C74,RCR10164
C74,RCR10221
C74,RCR10229
C74,RCR10245
C74,RCR10275
C74,RCR10294
C74,RCR10337
C74,RCR10349
C74,RCR10443
C74,RCR10444
C74,RCR10462
C74,RCR10463
C74,RCR10464
C74,RCR10513
C74,RCR10545
C74,RCR10555
C74,RCR10606
C74,RCR10608
C74,RCR11245
C74,RCR11248
C74,RCR11251
C74,RCR11268
C74,RCR11269
C74,RCR11299
C74,RCR11300
C74,RCR11301
C74,RCR11302
C74,RCR11308
C74,RCR11317
C74,RCR11373
C74,RCR11374
C74,RCR11375
C74,RCR11486
C74,RCR11646
C74,RCR11648
C74,RCR11660
C74,RCR11661
C74,RCR11663
C74,RCR11665
C74,RCR11671
C74,RCR11679
C74,RCR13802
C74,RCR13852
C74,RCR14283
C74,RCR14285
C74,RCR14286
C74,RCR14289
C74,RCR14306
C74,RCR14348
C74,RCR14393
C74,RCR14394
C74,RCR14481
C74,RCR20005
C74,RCR20015
C74,RCR20085
C74,RCR20166
C74,RCR20173
C74,RCR20270
C74,RCR20272
C74,RCR20274
C74,RCR20579
C74,RCR20594
C74,RCR21046
C74,RCR21047
C74,RCR21048
C74,RCR40013
C74,RCR40061
C74,RCR40111
C74,RCR40536
