reaction	linear_coefficient
RCR10004	7.719941024278362e-05
RCR10001	7.719941024278362e-05
RCR11116	0.00021546717211352615
RCR10296	7.719941024278362e-05
RCR10130	0.32939636822693197
RCR11203	0.32939636822693197
RCR11091	0.00037478924171370254
RCR14213	0.00037478924171370254
RCR10002	0.00037478924171370254
RCR11020	0.00037478924171370254
RCR10119	0.00037478924171370254
RCR10460	0.00037478924171370254
RCR11090	0.00037478924171370254
RCR14211	0.00037478924171370254
RCR11021	0.00037478924171370254
RCR10005	0.0002419216996538043
RCR10006	0.0005578313294907671
RCR10009	0.0005088372592550835
RCR10093	0.0015277870954988426
RCR10094	0.0015277870954988426
RCR10104	0.003892327227651084
RCR10010	0.0015277870954988426
RCR10011	1.0
RCR10012	0.000526909109974065
RCR10013	0.00019600460532023483
RCR10562	0.00019600460532023483
RCR10014	0.0006312066306727425
RCR10017	0.0005851657554213446
RCR10112	0.0003464956741037774
RCR10135	0.0003464956741037774
RCR10238	0.0003464956741037774
RCR10088	0.0003464956741037774
RCR10102	0.0003464956741037774
RCR10132	0.0003464956741037774
RCR10234	0.0003464956741037774
RCR10117	0.0003464956741037774
RCR11207	0.0003464956741037774
RCR10239	0.0003464956741037774
RCR10299	0.0003464956741037774
RCR10300	0.0003464956741037774
RCR11220	0.0003464956741037774
RCR10129	0.0003464956741037774
RCR10113	0.0003464956741037774
RCR10109	0.0003464956741037774
RCR11223	0.0003464956741037774
RCR11221	0.0003464956741037774
RCR11222	0.0003464956741037774
RCR11224	0.0003464956741037774
RCR11226	0.0003464956741037774
RCR11227	0.0003464956741037774
RCR10137	0.0003464956741037774
RCR11228	0.0003464956741037774
RCR10136	0.0003464956741037774
RCR11229	0.0003464956741037774
RCR14268	0.0003464956741037774
RCR11230	0.0003464956741037774
RCR11231	0.0003464956741037774
RCR14274	0.0003464956741037774
RCR10018	0.0003464956741037774
RCR10114	0.0003464956741037774
RCR10131	0.0003464956741037774
RCR14275	0.0003464956741037774
RCR11205	0.0003464956741037774
RCR11206	0.0003464956741037774
RCR11166	0.0003464956741037774
RCR10115	0.0003464956741037774
RCR11204	0.0003464956741037774
RCR10297	0.0003464956741037774
RCR10027	0.0003464956741037774
RCR10019	0.0025228262261169474
RCR10020	0.0020985485415714548
RCR10021	0.0015971149968307386
RCR14194	0.0015971149968307386
RCR11770	6.674314273441578e-05
RCR11715	6.674314273441578e-05
RCR10040	6.674314273441578e-05
RCR11771	6.674314273441578e-05
