	minimum	maximum
RCR10001	0.4352941176475724	2.766249339958563
RCR10020	-2.8329914617859155e-13	0.7890560806866931
RCR10084	1.019999999999528	4.989619333755911
RCR10099	-0.9312126490951869	-0.1999999999999318
RCR10101	-3.1770784498544344	-0.4058823529411484
RCR10105	-154.25147346918925	-111.20794162517006
RCR10106	-6.70697668583864	-5.163811442771362
RCR10109	-1.0443389303210002	-0.1800000000001475
RCR10127	-0.9312126490951869	-0.1999999999999318
RCR10145	1.166666666667533	5.871505541583818
RCR10246	0.0	0.3945280403435769
RCR10294	-1.7802594762117678	-0.10588235294119386
RCR10295	0.9999999999999938	4.6560632454756865
RCR10345	3.3519057213857715	6.706976685838948
RCR10352	5.163811442771362	6.70697668583864
RCR10443	-1.396818973643235	2.2737367544323206e-13
RCR10444	0.0	1.3968189736431214
RCR10460	1.5400000000005438	6.706976685838811
RCR10462	0.0	2.0834868503110617
RCR10463	0.0	2.083486850311062
RCR10464	0.0	2.083486850311062
RCR10471	-1.3968189736427665	-0.2999999999999072
RCR10475	-2.7616962824041593	-0.5399999999999636
RCR10479	0.5400000000001346	2.7616962824041646
RCR10480	0.2999999999999997	1.3968189736427066
RCR10483	0.20000000000006388	0.931212649095218
RCR10484	0.2000000000000575	0.9312126490951478
RCR10503	-2.761696282404058	-0.539999999999983
RCR10506	0.5000000000001312	2.5296209645550825
RCR10555	0.0	2.0834868503111466
RCR10608	0.5697574431747324	0.7967919246152291
RCR11017	90.00000000000001	100.0
RCR11103	-4.223770784863013	-0.8133333333335748
RCR11104	-6.335656177280384	-1.220000000000482
RCR11105	-1.3968189736427659	-0.30000000000002325
RCR11109	0.40666666666675155	2.111885392426757
RCR11151	0.7000000000000738	3.259244271833101
RCR11158	0.5000000000001721	2.5296209645550825
RCR11159	0.09333333333345292	0.4177355721280769
RCR11165	0.3000000000001395	1.3968189736427663
RCR11167	-3.5739598948760816	-0.6800000000002744
RCR11170	-1.3968189736426497	-0.2999999999999071
RCR11176	0.6800000000003531	3.573959894876082
RCR11187	0.30000000000013943	1.3968189736427663
RCR11204	-2.5296209645550825	-0.5000000000001315
RCR11239	-6.706976685838813	-3.1919057213857633
RCR11299	0.0	1.396818973643125
RCR11300	0.0	1.396818973643125
RCR11301	0.0	1.396818973643125
RCR11302	-0.3945280403434239	1.970346180499422e-13
RCR11319	-1.8298723793143187e-13	0.39452804034334643
RCR11320	-0.3945280403435163	2.2737367544323206e-13
RCR11372	3.351905721386162	6.7069766858389634
RCR11379	0.0	1.3968189736431416
RCR11380	3.191905721385764	6.706976685838813
RCR11504	0.5697574431747326	0.7967919246152292
RCR11505	0.5697574431747325	0.7967919246152291
RCR11522	3.3519057213861165	6.7069766858389235
RCR11524	3.3519057213861743	6.706976685838981
RCR11659	5.163811442771416	6.706976685838813
RCR11660	-6.706976685839095	-5.163811442771703
RCR11661	-6.706976685839095	-5.163811442771703
RCR11663	5.1638114427717685	6.706976685839178
RCR11665	116.37175306794224	160.95845015502576
RCR11669	-6.7069766858388675	-5.163811442771475
RCR11671	5.163811442771736	6.706976685839123
RCR12361	1.5400000000004184	6.706976685838754
RCR12402	-6.7069766858388675	-1.5400000000007594
RCR13179	0.10000000000000771	1.3968189736430137
RCR13802	0.7000000000001184	3.2592442718331016
RCR13852	-3.2592442718331003	-0.7000000000001133
RCR14180	0.7600000000004895	3.759620149155649
RCR14182	0.4066666666668475	2.111885392426868
RCR14183	-3.759620149155694	-0.7600000000002183
RCR14185	-5.871505541582678	-1.1666666666669698
RCR14186	0.35333333333335304	1.647734756728596
RCR14216	-2.1118853924269256	-0.40666666666663787
