reaction	linear_coefficient
RCR10004	5.687797483582846e-05
RCR10001	5.687797483582846e-05
RCR11116	0.00023661270243402507
RCR11203	0.5498550013095999
RCR10130	0.5498550013095999
RCR10296	5.687797483582846e-05
RCR11020	0.00046627629178889356
RCR10460	0.00046627629178889356
RCR10119	0.00046627629178889356
RCR11090	0.00046627629178889356
RCR11021	0.00046627629178889356
RCR10002	0.00046627629178889356
RCR14213	0.00046627629178889356
RCR14211	0.00046627629178889356
RCR11091	0.00046627629178889356
RCR10005	0.00020742562133337105
RCR10006	0.0005380900194033473
RCR10009	0.0005291552491618552
RCR10094	0.0015325256727852714
RCR10010	0.0015325256727852714
RCR10104	0.004488024071840109
RCR10093	0.0015325256727852714
RCR10011	1.0
RCR10012	0.0005065504072622504
RCR10562	0.00016866576280021305
RCR10013	0.00016866576280021305
RCR10014	0.0005811336582304918
RCR10017	0.0005964096028928954
RCR10109	0.0003055689439635415
RCR14274	0.0003055689439635415
RCR10135	0.0003055689439635415
RCR11226	0.0003055689439635415
RCR11227	0.0003055689439635415
RCR10234	0.0003055689439635415
RCR11228	0.0003055689439635415
RCR14275	0.0003055689439635415
RCR11229	0.0003055689439635415
RCR11230	0.0003055689439635415
RCR11231	0.0003055689439635415
RCR10136	0.0003055689439635415
RCR10129	0.0003055689439635415
RCR10297	0.0003055689439635415
RCR10027	0.0003055689439635415
RCR10114	0.0003055689439635415
RCR10238	0.0003055689439635415
RCR11166	0.0003055689439635415
RCR11204	0.0003055689439635415
RCR10239	0.0003055689439635415
RCR11205	0.0003055689439635415
RCR10018	0.0003055689439635415
RCR10137	0.0003055689439635415
RCR10299	0.0003055689439635415
RCR11207	0.0003055689439635415
RCR10300	0.0003055689439635415
RCR10112	0.0003055689439635415
RCR10117	0.0003055689439635415
RCR10088	0.0003055689439635415
RCR10102	0.0003055689439635415
RCR10115	0.0003055689439635415
RCR10132	0.0003055689439635415
RCR11220	0.0003055689439635415
RCR10131	0.0003055689439635415
RCR11223	0.0003055689439635415
RCR14268	0.0003055689439635415
RCR10113	0.0003055689439635415
RCR11221	0.0003055689439635415
RCR11206	0.0003055689439635415
RCR11222	0.0003055689439635415
RCR11224	0.0003055689439635415
RCR10019	0.0021204366020425173
RCR10020	0.001653345825545741
RCR10021	0.0015314636027734861
RCR14194	0.0015314636027734861
RCR10049	6.482286434304105e-05
RCR11754	6.482286434304105e-05
RCR11711	6.482286434304105e-05
RCR10022	6.482286434304105e-05
RCR11756	6.482286434304105e-05
RCR10033	6.482286434304105e-05
RCR10044	6.482286434304105e-05
RCR11707	6.482286434304105e-05
RCR11755	6.482286434304105e-05
RCR10055	6.482286434304105e-05
RCR11708	6.482286434304105e-05
RCR11762	6.482286434304105e-05
RCR11763	6.482286434304105e-05
RCR11713	6.482286434304105e-05
RCR11758	6.482286434304105e-05
RCR10039	6.482286434304105e-05
RCR11759	6.482286434304105e-05
RCR11761	6.482286434304105e-05
RCR11709	6.482286434304105e-05
RCR11764	6.482286434304105e-05
RCR11760	6.482286434304105e-05
RCR11765	6.482286434304105e-05
RCR11710	6.482286434304105e-05
RCR11766	6.482286434304105e-05
RCR10050	6.482286434304105e-05
RCR11767	6.482286434304105e-05
RCR11768	6.482286434304105e-05
RCR10040	6.482286434304105e-05
RCR10029	6.482286434304105e-05
RCR11712	6.482286434304105e-05
