well_ID,drug,conc,timepoint,dead_cells,dead_cells_DOX,total_cells
B02,Ace,5,24h,112,112,486
B02,Ace,5,24h,64,64,446
B02,Ace,5,24h,93,93,557
B02,Ace,5,24h,117,117,556
B03,Ace,2.5,24h,94,94,495
B03,Ace,2.5,24h,73,73,533
B03,Ace,2.5,24h,89,89,536
B03,Ace,2.5,24h,143,143,583
B04,Ace,1.25,24h,97,97,565
B04,Ace,1.25,24h,99,99,639
B04,Ace,1.25,24h,98,98,616
B04,Ace,1.25,24h,101,101,602
B05,Ace,0.625,24h,128,128,531
B05,Ace,0.625,24h,76,76,574
B05,Ace,0.625,24h,93,93,658
B05,Ace,0.625,24h,96,96,606
B06,Ace,0.3125,24h,45,45,517
B06,Ace,0.3125,24h,34,34,298
B06,Ace,0.3125,24h,8,8,68
B06,Ace,0.3125,24h,53,53,541
B07,Dox,5,24h,550,546,553
B07,Dox,5,24h,288,286,308
B07,Dox,5,24h,425,420,465
B07,Dox,5,24h,577,571,582
B08,Dox,2.5,24h,303,273,510
B08,Dox,2.5,24h,328,289,513
B08,Dox,2.5,24h,370,347,539
B08,Dox,2.5,24h,330,292,526
B09,Dox,1.25,24h,170,127,487
B09,Dox,1.25,24h,190,131,542
B09,Dox,1.25,24h,198,147,567
B09,Dox,1.25,24h,225,172,588
B10,Dox,0.625,24h,166,144,611
B10,Dox,0.625,24h,146,125,584
B10,Dox,0.625,24h,168,144,646
B10,Dox,0.625,24h,151,137,627
B11,Dox,0.3125,24h,93,77,576
B11,Dox,0.3125,24h,98,84,623
B11,Dox,0.3125,24h,94,69,589
B11,Dox,0.3125,24h,119,102,648
C02,Ace,5,24h,101,101,501
C02,Ace,5,24h,94,94,512
C02,Ace,5,24h,100,100,580
C02,Ace,5,24h,116,116,555
C03,Ace,2.5,24h,82,82,508
C03,Ace,2.5,24h,101,101,547
C03,Ace,2.5,24h,96,96,560
C03,Ace,2.5,24h,113,113,604
C04,Ace,1.25,24h,105,105,651
C04,Ace,1.25,24h,123,123,587
C04,Ace,1.25,24h,97,97,640
C04,Ace,1.25,24h,141,141,695
C05,Ace,0.625,24h,114,114,623
C05,Ace,0.625,24h,85,85,624
C05,Ace,0.625,24h,97,97,602
C05,Ace,0.625,24h,136,136,645
C06,Ace,0.3125,24h,60,60,576
C06,Ace,0.3125,24h,63,63,596
