drug,conc,timepoint,background,raw value
Ace,0.078125,6h,414.3333333,30500
Ace,0.15625,6h,414.3333333,29050
Ace,0.3125,6h,414.3333333,26440
Ace,0.625,6h,414.3333333,22250
Ace,1.25,6h,414.3333333,18460
Ace,2.5,6h,414.3333333,13470
Ace,5,6h,414.3333333,9784
Ace,10,6h,414.3333333,7118
Dox,0.15625,6h,414.3333333,29000
Dox,0.3125,6h,414.3333333,30470
Dox,0.625,6h,414.3333333,31730
Dox,1.25,6h,414.3333333,31410
Dox,2.5,6h,414.3333333,28980
Dox,5,6h,414.3333333,27600
Dox,10,6h,414.3333333,25190
Dox,20,6h,414.3333333,22450
5FU,0.078125,6h,414.3333333,36250
5FU,0.15625,6h,414.3333333,30510
5FU,0.3125,6h,414.3333333,31260
5FU,0.625,6h,414.3333333,27600
5FU,1.25,6h,414.3333333,27690
5FU,2.5,6h,414.3333333,26520
5FU,5,6h,414.3333333,27340
5FU,10,6h,414.3333333,25910
Ace,0.078125,6h,414.3333333,27520
Ace,0.15625,6h,414.3333333,25930
Ace,0.3125,6h,414.3333333,25010
Ace,0.625,6h,414.3333333,23650
Ace,1.25,6h,414.3333333,18650
Ace,2.5,6h,414.3333333,13130
Ace,5,6h,414.3333333,9183
Ace,10,6h,414.3333333,6725
Dox,0.15625,6h,414.3333333,30560
Dox,0.3125,6h,414.3333333,30730
Dox,0.625,6h,414.3333333,29090
Dox,1.25,6h,414.3333333,30680
Dox,2.5,6h,414.3333333,30080
Dox,5,6h,414.3333333,27640
Dox,10,6h,414.3333333,26020
Dox,20,6h,414.3333333,22540
5FU,0.078125,6h,414.3333333,34750
5FU,0.15625,6h,414.3333333,32630
5FU,0.3125,6h,414.3333333,30650
5FU,0.625,6h,414.3333333,31250
5FU,1.25,6h,414.3333333,31420
5FU,2.5,6h,414.3333333,30500
5FU,5,6h,414.3333333,28460
5FU,10,6h,414.3333333,27150
Ace,0.078125,6h,414.3333333,27530
Ace,0.15625,6h,414.3333333,27930
Ace,0.3125,6h,414.3333333,26150
Ace,0.625,6h,414.3333333,21290
Ace,1.25,6h,414.3333333,17520
Ace,2.5,6h,414.3333333,14320
Ace,5,6h,414.3333333,9650
Ace,10,6h,414.3333333,6662
Dox,0.15625,6h,414.3333333,32700
Dox,0.3125,6h,414.3333333,31510
Dox,0.625,6h,414.3333333,30970
Dox,1.25,6h,414.3333333,32760
Dox,2.5,6h,414.3333333,31430
Dox,5,6h,414.3333333,26960
Dox,10,6h,414.3333333,24940
Dox,20,6h,414.3333333,22340
5FU,0.078125,6h,414.3333333,39930
5FU,0.15625,6h,414.3333333,32760
5FU,0.3125,6h,414.3333333,32310
5FU,0.625,6h,414.3333333,29370
5FU,1.25,6h,414.3333333,29970
5FU,2.5,6h,414.3333333,26670
5FU,5,6h,414.3333333,27670
5FU,10,6h,414.3333333,24790
DMSO,0,6h,414.3333333,28170
DMSO,0,6h,414.3333333,29870
DMSO,0,6h,414.3333333,28680
Ace,0.078125,24h,175.3333333,90780
Ace,0.15625,24h,175.3333333,82600
