reaction	linear_coefficient
RCR10004	3.1051520987552996e-05
RCR11116	8.152181756454785e-05
RCR10001	3.1051520987552996e-05
RCR10296	3.1051520987552996e-05
RCR10130	0.029754574275816497
RCR11203	0.029754574275816497
RCR11091	0.00021102933073799082
RCR11020	0.00021102933073799082
RCR10002	0.00021102933073799082
RCR10460	0.00021102933073799082
RCR10119	0.00021102933073799082
RCR14213	0.00021102933073799082
RCR11021	0.00021102933073799082
RCR11090	0.00021102933073799082
RCR14211	0.00021102933073799082
RCR10005	0.00020295960600957437
RCR10006	0.0002734797148323116
RCR10009	0.0004973158082987932
RCR10094	0.0006512981935734594
RCR10104	0.0014863512171007138
RCR10093	0.0006512981935734594
RCR10010	0.0006512981935734594
RCR10011	1.0
RCR10012	0.0005875343794608372
RCR10013	0.0002015309924758527
RCR10562	0.0002015309924758527
RCR10014	0.0003890661666722807
RCR10017	0.00039750784188657815
RCR10300	0.00023109546896858508
RCR10113	0.00023109546896858508
RCR11166	0.00023109546896858508
RCR11204	0.00023109546896858508
RCR10135	0.00023109546896858508
RCR11205	0.00023109546896858508
RCR11207	0.00023109546896858508
RCR10136	0.00023109546896858508
RCR11220	0.00023109546896858508
RCR14268	0.00023109546896858508
RCR10129	0.00023109546896858508
RCR10234	0.00023109546896858508
RCR11223	0.00023109546896858508
RCR11221	0.00023109546896858508
RCR11222	0.00023109546896858508
RCR10018	0.00023109546896858508
RCR10114	0.00023109546896858508
RCR11224	0.00023109546896858508
RCR14274	0.00023109546896858508
RCR11226	0.00023109546896858508
RCR11227	0.00023109546896858508
RCR14275	0.00023109546896858508
RCR11228	0.00023109546896858508
RCR10137	0.00023109546896858508
RCR11229	0.00023109546896858508
RCR11230	0.00023109546896858508
RCR11231	0.00023109546896858508
RCR10027	0.00023109546896858508
RCR10297	0.00023109546896858508
RCR10117	0.00023109546896858508
RCR10112	0.00023109546896858508
RCR10115	0.00023109546896858508
RCR10088	0.00023109546896858508
RCR10102	0.00023109546896858508
RCR10238	0.00023109546896858508
RCR10132	0.00023109546896858508
RCR10131	0.00023109546896858508
RCR10239	0.00023109546896858508
RCR11206	0.00023109546896858508
RCR10299	0.00023109546896858508
RCR10109	0.00023109546896858508
RCR10019	0.0011088432291328403
RCR10020	0.0011807343557685521
RCR10021	0.0013035209434595957
RCR14194	0.0013035209434595957
RCR11740	4.7094103308747726e-05
RCR11741	4.7094103308747726e-05
RCR11700	4.7094103308747726e-05
RCR10030	4.7094103308747726e-05
RCR11742	4.7094103308747726e-05
RCR10041	4.7094103308747726e-05
RCR11743	4.7094103308747726e-05
RCR11701	4.7094103308747726e-05
RCR11744	4.7094103308747726e-05
RCR11745	4.7094103308747726e-05
RCR11702	4.7094103308747726e-05
RCR11746	4.7094103308747726e-05
RCR10047	4.7094103308747726e-05
RCR11747	4.7094103308747726e-05
RCR10036	4.7094103308747726e-05
RCR11748	4.7094103308747726e-05
RCR11706	4.7094103308747726e-05
RCR10025	4.7094103308747726e-05
RCR10052	4.7094103308747726e-05
RCR11749	4.7094103308747726e-05
RCR10046	4.7094103308747726e-05
RCR11703	4.7094103308747726e-05
RCR11750	4.7094103308747726e-05
RCR12245	4.7094103308747726e-05
RCR11751	4.7094103308747726e-05
RCR11711	4.7094103308747726e-05
RCR11753	4.7094103308747726e-05
RCR11754	4.7094103308747726e-05
RCR11757	4.7094103308747726e-05
RCR12243	4.7094103308747726e-05
RCR11704	4.7094103308747726e-05
RCR11756	4.7094103308747726e-05
RCR10037	4.7094103308747726e-05
RCR10053	4.7094103308747726e-05
RCR10031	4.7094103308747726e-05
RCR10042	4.7094103308747726e-05
RCR11755	4.7094103308747726e-05
RCR11705	4.7094103308747726e-05
RCR11760	4.7094103308747726e-05
RCR11758	4.7094103308747726e-05
RCR11707	4.7094103308747726e-05
RCR11708	4.7094103308747726e-05
RCR11739	4.7094103308747726e-05
RCR11759	4.7094103308747726e-05
RCR11761	4.7094103308747726e-05
RCR11713	4.7094103308747726e-05
RCR10032	4.7094103308747726e-05
RCR11762	4.7094103308747726e-05
RCR10043	4.7094103308747726e-05
RCR10048	4.7094103308747726e-05
RCR11763	4.7094103308747726e-05
RCR11764	4.7094103308747726e-05
RCR11765	4.7094103308747726e-05
RCR11709	4.7094103308747726e-05
RCR11766	4.7094103308747726e-05
RCR11735	4.7094103308747726e-05
RCR11733	4.7094103308747726e-05
RCR11767	4.7094103308747726e-05
RCR11768	4.7094103308747726e-05
RCR11710	4.7094103308747726e-05
RCR11752	4.7094103308747726e-05
RCR11769	4.7094103308747726e-05
RCR11770	4.7094103308747726e-05
RCR10049	4.7094103308747726e-05
RCR11771	4.7094103308747726e-05
RCR11712	4.7094103308747726e-05
RCR11772	4.7094103308747726e-05
RCR10054	4.7094103308747726e-05
RCR11714	4.7094103308747726e-05
RCR10038	4.7094103308747726e-05
RCR11715	4.7094103308747726e-05
RCR11717	4.7094103308747726e-05
RCR11716	4.7094103308747726e-05
RCR11697	4.7094103308747726e-05
RCR10039	4.7094103308747726e-05
RCR10055	4.7094103308747726e-05
RCR11718	4.7094103308747726e-05
RCR10033	4.7094103308747726e-05
RCR10044	4.7094103308747726e-05
RCR10022	4.7094103308747726e-05
RCR11721	4.7094103308747726e-05
RCR11724	4.7094103308747726e-05
RCR11688	4.7094103308747726e-05
RCR11689	4.7094103308747726e-05
RCR10034	4.7094103308747726e-05
RCR10045	4.7094103308747726e-05
RCR11719	4.7094103308747726e-05
RCR10050	4.7094103308747726e-05
RCR11691	4.7094103308747726e-05
RCR11690	4.7094103308747726e-05
RCR11720	4.7094103308747726e-05
RCR11736	4.7094103308747726e-05
RCR12221	4.7094103308747726e-05
RCR11692	4.7094103308747726e-05
RCR11722	4.7094103308747726e-05
RCR12223	4.7094103308747726e-05
RCR11693	4.7094103308747726e-05
RCR11723	4.7094103308747726e-05
RCR11725	4.7094103308747726e-05
RCR10051	4.7094103308747726e-05
RCR11694	4.7094103308747726e-05
RCR11726	4.7094103308747726e-05
RCR10040	4.7094103308747726e-05
RCR10029	4.7094103308747726e-05
RCR11727	4.7094103308747726e-05
RCR11695	4.7094103308747726e-05
RCR11728	4.7094103308747726e-05
RCR11729	4.7094103308747726e-05
RCR11696	4.7094103308747726e-05
RCR11730	4.7094103308747726e-05
RCR11731	4.7094103308747726e-05
RCR11698	4.7094103308747726e-05
RCR11732	4.7094103308747726e-05
RCR11737	4.7094103308747726e-05
RCR11699	4.7094103308747726e-05
RCR11734	4.7094103308747726e-05
RCR11738	4.7094103308747726e-05
RCR10035	4.7094103308747726e-05
RCR13648	0.015435240775950555
RCR20514	0.015435240775950555
RCR13649	0.015435240775950555
RCR20230	0.015435240775950555
RCR10220	0.015435240775950555
RCR13626	0.015435240775950555
RCR13624	0.015435240775950555
RCR10394	0.015435240775950555
RCR13680	0.015435240775950555
RCR90180	0.015435240775950555
RCR12348	0.0002081181585464992
RCR12349	0.0002081181585464992
RCR10059	0.0002081181585464992
RCR10074	0.0002081181585464992
RCR12350	0.0002081181585464992
RCR12351	0.0002081181585464992
RCR12352	0.0002081181585464992
RCR12353	0.0002081181585464992
RCR12232	0.0002081181585464992
RCR12354	0.0002081181585464992
RCR10061	0.0002081181585464992
RCR10076	0.0002081181585464992
RCR12355	0.0002081181585464992
RCR10060	0.0002081181585464992
RCR10075	0.0002081181585464992
RCR12233	0.0002081181585464992
RCR10639	0.0002081181585464992
RCR10219	0.0002081181585464992
RCR10063	0.0002081181585464992
RCR10026	0.0002081181585464992
RCR10078	0.0002081181585464992
RCR10062	0.0002081181585464992
RCR10077	0.0002081181585464992
RCR10356	0.00014485234630114678
RCR10064	0.0002081181585464992
RCR10080	0.0002081181585464992
RCR10079	0.0002081181585464992
RCR12254	0.0002081181585464992
RCR12255	0.0002081181585464992
RCR10082	0.0002081181585464992
RCR10066	0.0002081181585464992
RCR10081	0.0002081181585464992
RCR10065	0.0002081181585464992
RCR14640	0.0002081181585464992
RCR10058	0.0002081181585464992
RCR10068	0.0002081181585464992
RCR10067	0.0002081181585464992
RCR12326	0.0002081181585464992
RCR12329	0.0002081181585464992
RCR12327	0.0002081181585464992
RCR10070	0.0002081181585464992
RCR10069	0.0002081181585464992
RCR12328	0.0002081181585464992
RCR12330	0.0002081181585464992
RCR10023	0.0002081181585464992
RCR12331	0.0002081181585464992
RCR12332	0.0002081181585464992
RCR12333	0.0002081181585464992
RCR12334	0.0002081181585464992
RCR10073	0.0002081181585464992
RCR12335	0.0002081181585464992
RCR12336	0.0002081181585464992
RCR10072	0.0002081181585464992
RCR10057	0.0002081181585464992
RCR12337	0.0002081181585464992
RCR10071	0.0002081181585464992
RCR10056	0.0002081181585464992
RCR12338	0.0002081181585464992
RCR12339	0.0002081181585464992
RCR12340	0.0002081181585464992
RCR12341	0.0002081181585464992
RCR12342	0.0002081181585464992
RCR12343	0.0002081181585464992
RCR12344	0.0002081181585464992
RCR12345	0.0002081181585464992
RCR12346	0.0002081181585464992
RCR12347	0.0002081181585464992
RCR13613	0.042697401773086355
RCR13632	0.042697401773086355
RCR13683	0.042697401773086355
RCR14233	2.111545649593735e-05
RCR10145	2.111545649593735e-05
RCR14234	2.111545649593735e-05
RCR10024	2.111545649593735e-05
RCR14235	2.111545649593735e-05
RCR14203	2.111545649593735e-05
RCR10153	2.111545649593735e-05
RCR10086	2.111545649593735e-05
RCR14236	2.111545649593735e-05
RCR10352	2.9923612336776118e-06
RCR10028	0.000309346210848561
RCR10106	2.9923612336776118e-06
RCR14406	2.009505383345048e-06
RCR11087	2.009505383345048e-06
RCR10083	2.009505383345048e-06
RCR10152	2.009505383345048e-06
RCR10354	2.009505383345048e-06
RCR10441	2.009505383345048e-06
RCR10496	0.0001894440480135253
RCR10084	0.0001894440480135253
RCR10303	0.0008626394199702318
RCR10302	0.0008626394199702318
RCR14256	0.0008626394199702318
RCR10101	2.015347719421475e-06
RCR10087	2.015347719421475e-06
RCR10235	2.015347719421475e-06
RCR20034	2.015347719421475e-06
RCR11149	2.015347719421475e-06
RCR10488	2.015347719421475e-06
RCR10489	2.015347719421475e-06
RCR10099	2.015347719421475e-06
RCR10154	2.015347719421475e-06
RCR10096	2.015347719421475e-06
RCR14250	2.015347719421475e-06
RCR10100	2.015347719421475e-06
RCR11148	2.015347719421475e-06
RCR10127	2.015347719421475e-06
RCR20060	2.015347719421475e-06
RCR20198	2.015347719421475e-06
RCR10501	2.015347719421475e-06
RCR14273	2.015347719421475e-06
RCR10502	2.015347719421475e-06
RCR11211	2.015347719421475e-06
RCR14272	2.015347719421475e-06
RCR10089	0.0028774051823133267
RCR10254	0.00010251678121186567
RCR10380	0.00010251678121186567
RCR10305	0.001069969502747135
RCR10090	0.001069969502747135
RCR10095	1.0
RCR10091	1.0
RCR13689	0.0005703182037373751
RCR14641	0.0005703182037373751
RCR10097	0.004533424502646459
RCR10229	9.541033148325046e-05
RCR30268	9.541033148325046e-05
RCR11793	0.0003526857542770399
RCR11794	0.0003526857542770399
RCR11795	0.0003526857542770399
RCR11790	0.0003526857542770399
RCR11796	0.0003526857542770399
RCR11797	0.0003526857542770399
RCR11798	0.0003526857542770399
RCR11799	0.0003526857542770399
RCR11800	0.0003526857542770399
RCR11803	0.0003526857542770399
RCR11775	0.0003526857542770399
RCR11802	0.0003526857542770399
RCR11806	0.0003526857542770399
RCR11804	0.0003526857542770399
RCR11805	0.0003526857542770399
RCR11807	0.0003526857542770399
RCR11808	0.0003526857542770399
RCR11809	0.0003526857542770399
RCR11810	0.0003526857542770399
RCR11811	0.0003526857542770399
RCR10357	0.0003526857542770399
RCR11773	0.0003526857542770399
RCR11774	0.0003526857542770399
RCR11812	0.0003526857542770399
RCR11777	0.0003526857542770399
RCR11813	0.0003526857542770399
RCR11776	0.0002848551407148218
RCR11814	0.0003526857542770399
RCR11778	0.0003526857542770399
RCR11815	0.0003526857542770399
RCR11779	0.0003526857542770399
RCR11816	0.0003526857542770399
RCR10098	0.0003526857542770399
RCR11780	0.0003526857542770399
RCR11817	0.0003526857542770399
RCR11781	0.0003526857542770399
RCR40437	0.0003526857542770399
RCR11818	0.0003526857542770399
RCR11782	0.0003526857542770399
RCR11819	0.0003526857542770399
RCR11783	0.0003526857542770399
RCR11820	0.0003526857542770399
RCR11784	0.0003526857542770399
RCR11821	0.0003526857542770399
RCR11785	0.0003526857542770399
RCR11822	0.0003526857542770399
RCR11786	0.0003526857542770399
RCR11823	0.0003526857542770399
RCR11787	0.0003526857542770399
RCR11824	0.0003526857542770399
RCR11788	0.0003526857542770399
RCR11825	0.0003526857542770399
RCR11789	0.0003526857542770399
RCR11908	0.0003526857542770399
RCR11826	0.0003526857542770399
RCR11909	0.0003526857542770399
RCR11791	0.0003526857542770399
RCR11911	0.0003526857542770399
RCR11828	0.0003526857542770399
RCR11912	0.0003526857542770399
RCR11792	0.0003526857542770399
RCR11913	0.0003526857542770399
RCR11829	0.0003526857542770399
RCR11914	0.0003526857542770399
RCR11827	0.0003526857542770399
RCR11665	4.101620079234861e-05
RCR10105	4.101620079234861e-05
RCR10103	4.101620079234861e-05
RCR14258	0.0004570275096905233
RCR10110	0.0004570275096905233
RCR10478	5.321985358017519e-05
RCR11171	5.321985358017519e-05
RCR10111	5.321985358017519e-05
RCR14395	1.1427516752295803e-05
RCR10160	1.1427516752295803e-05
RCR11498	1.1427516752295803e-05
RCR11646	2.7192789963074802e-05
RCR14291	1.1427516752295803e-05
RCR10118	2.7192789963074802e-05
RCR10144	0.001370717713834081
RCR10120	0.00033020532142986767
RCR11683	0.00032252709580742213
RCR10121	0.00032252709580742213
RCR10606	0.00032252709580742213
RCR10436	0.00032252709580742213
RCR10123	0.0002722646242689166
RCR10939	0.0002722646242689166
RCR13799	0.0003813378097009009
RCR10408	0.0003813378097009009
