	minimum	maximum
RCR10001	0.27647058823686166	3.4735649068136354
RCR10084	1.0200000000014646	6.288076378001955
RCR10099	-1.0438756876609432	-0.20000000000027285
RCR10101	-4.399507363449516	-0.8000000000016598
RCR10103	0.0	3.8355027506416937
RCR10105	-166.23583524910384	-110.96050046541154
RCR10106	-7.296743919863388	-5.220187674506633
RCR10109	-2.6397044180693134	-0.4800000000005581
RCR10118	-3.8355027506446504	-5.684341886080801e-13
RCR10127	-1.0438756876609432	-0.20000000000027285
RCR10145	1.2666666666691309	7.994226794558606
RCR10155	0.2999999999996393	1.5658135314889177
RCR10164	-3.8355027506446504	-4.547473508864641e-13
RCR10294	-3.3049957754692514	-0.5000000000001137
RCR10295	1.0000000000017668	5.219378438303618
RCR10345	3.3800938372560476	7.296743919865582
RCR10352	5.2201876745064055	7.296743919863047
RCR10460	1.540000000002889	7.296743919865575
RCR10462	0.0	2.111674966178526
RCR10463	0.0	2.1116749661785263
RCR10464	0.0	2.1116749661785263
RCR10475	-3.6483719599334563	-0.5400000000008731
RCR10479	0.5400000000028043	3.6483719599327835
RCR10480	0.30000000000053295	1.5658135314913804
RCR10483	0.20000000000035528	1.0438756876609205
RCR10484	0.2000000000004605	1.0438756876608453
RCR10485	0.3000000000013151	1.5658135314905741
RCR10492	0.3000000000013144	1.5658135314905732
RCR10503	-3.648371959933697	-0.5400000000017072
RCR10506	0.5000000000013939	3.3049957754685884
RCR10555	0.0	2.1116749661785263
RCR10608	0.5690398472508461	0.8584404611605898
RCR11017	90.00000000004718	100.00000000004525
RCR11103	-6.3953814356485275	-1.013333333335311
RCR11104	-9.593072153472917	-1.5200000000029377
RCR11151	1.0000000000007745	5.219378438303722
RCR11158	0.500000000001172	3.3049957754682806
RCR11159	0.5000000000029459	3.3049957754693544
RCR11165	0.3000000000003601	1.5658135314912411
RCR11167	-5.944700193539536	-0.9800000000012393
RCR11170	-1.5658135314911295	-0.30000000000038907
RCR11176	0.9800000000049689	5.944700193537512
